gene,eds1,rgt1,lys14
YDL175C,0.4316314855,0.1141891759,0.09781935116
YBR059C,0.726090038,0.7353015911,0.6910057923
YDR264C,0.1345599156,0.1391899335,0.4455469236
YOR034C,0.388590433,0.3941424874,0.3686208547
YOR335C,0.3452944183,0.3567555647,0.304436914
YJL122W,0.6054346718,0.6143311274,0.05482035611
YMR170C,0.2653328389,0.6422975318,0.5993167303
YMR169C,0.09479136543,0.6682359796,0.6245185456
YOR374W,0.8356792914,0.5536481754,0.8039073505
YER073W,0.002322929395,0.9889498576,0.8154470849
YPL061W,0.7053475571,0.7146065626,0.304436914
YOR175C,0.6830343027,0.6922935259,0.2806095488
YNL148C,0.1096375748,0.6922935259,0.6481352398
YBR110W,0.1812692469,0.1812692469,0.1812692469
YNL048W,0.47164260140000003,0.4788230566,0.4455469236
YNR030W,0.5434131951,0.5516678417,0.1626800992
YGL047W,0.2389049713,0.2406387139,0.2327650362
YBR070C,0.2921610769,0.6682359796,0.2567171145
YGL065C,0.47164260140000003,0.4788230566,0.4455469236
YBL082C,0.5434131951,0.5516678417,0.5131004624
YPL227C,0.3452944183,0.3567555647,0.304436914
YOR002W,0.03549097509,0.5166156975,0.4804204137
YBR243C,0.2514959706,0.5314350072,0.7907458729
YOR067C,0.2389049713,0.2406387139,0.2327650362
YNL219C,0.5169141432,0.8315017396,0.4634293439
YGL021W,0.6054346718,0.6143311274,0.5724234027
YBL009W,0.6054346718,0.6143311274,0.5724234027
YML086C,0.5755552774,0.5841782136,0.5437250308
YNL270C,0.2924833463,0.2957030615,0.2810218897
YOL130W,0.397053655,0.7544959397,0.7104406316
YFL050C,0.2389049713,0.2406387139,0.2327650362
YLR089C,9.762647824e-4,0.4604101477,0.3975295134
YDR111C,0.5389267363,0.2844457246,0.8039073505
YKR021W,0.3422899948,0.3467744713,0.3262435271
YJL084C,0.3452944183,0.7146065626,0.6702665125
YGR225W,8.415072599e-4,0.5166156975,0.4804204137
YML035C,0.2905953509,0.8550527038,0.5049293512
YDR242W,0.2322413985,0.8183279683,0.4419214255
YBR211C,0.3188528495,0.6922935259,0.6481352398
YOR378W,0.3188528495,0.6922935259,0.6481352398
YBR158W,0.2132730696,0.8041242264,0.1748464013
YGL156W,0.6054346718,0.246875035,0.2091449909
YJR047C,0.5542429382,0.7986410553,0.1230862331
YEL036C,0.2717009659,0.9723323811,0.8185263574
YKL047W,0.4316314855,0.4380756576,0.09781935116
YHR126C,0.6332106634,0.6422975318,0.5993167303
YPR128C,0.04514641799,0.5516678417,0.5131004624
YPR180W,0.3422899948,0.3467744713,0.3262435271
YCL050C,0.3188528495,0.6922935259,0.2806095488
YDR530C,0.8580001577,0.8655634165,0.8277989167
YNL172W,0.0770243112,0.8041242264,0.4199435469
YDL008W,0.3422899948,0.3467744713,0.3262435271
YLR127C,0.3422899948,0.3467744713,0.3262435271
YDR118W,0.2924833463,0.2957030615,0.2810218897
YOR249C,0.1345599156,0.4788230566,0.1185454145
YLR102C,0.4316314855,0.1141891759,0.09781935116
YBR151W,0.5602341216,0.8550527038,0.8162410093
YKL103C,0.5088370774,0.5166156975,0.4804204137
YKL157W,0.47164260140000003,0.4788230566,0.4455469236
YBR286W,0.3422899948,0.3467744713,0.3262435271
YHR113W,0.1096375748,0.6922935259,0.6481352398
YDR525W,0.5088370774,0.5166156975,0.4804204137
YNL077W,0.388590433,0.3941424874,0.3686208547
YJR005W,0.6054346718,0.6143311274,0.5724234027
YKL135C,0.4316314855,0.4380756576,0.4083327713
YBL037W,0.00129231944,0.5516678417,0.5131004624
YPR029C,0.8356792914,0.8437202276,0.8039073505
YPL195W,0.04768675073,0.2957030615,0.2810218897
YGR261C,0.2389049713,0.2406387139,0.2327650362
YPL259C,0.5088370774,0.5166156975,0.4804204137
YHL019C,0.5755552774,0.2192952162,0.1857044738
YBR288C,0.08778412724,0.3941424874,0.3686208547
YOL062C,0.2924833463,0.2957030615,0.2810218897
YKL114C,0.3422899948,0.3467744713,0.3262435271
YBL019W,0.4316314855,0.4380756576,0.4083327713
YNL094W,0.0667153126,0.3467744713,0.3262435271
YIL040W,0.2389049713,0.2406387139,0.2327650362
YJL075C,0.3422899948,0.3467744713,0.3262435271
YLR170C,0.5755552774,0.5841782136,0.5437250308
YJR058C,0.8232357164,0.8315017396,0.7907458729
YJL024C,0.3188528495,0.3296279196,0.2806095488
YML022W,0.2389049713,0.2406387139,0.02947678516
YDR441C,0.01917065091,0.02075669567,0.5993167303
YNL065W,9.411408188e-4,0,0.8277989167
YPR192W,0.3188528495,0.6922935259,0.08866771643
YLL052C,0.2905953509,0.3047589552,0.5049293512
YFL054C,8.415072599e-4,9.281174919e-4,0.1402333266
YBR149W,0.1345599156,0.4788230566,0.1185454145
YMR041C,0.6560076405,0.900517461,0.1463104924
YER036C,0.2322413985,0.2442431737,0.7767010145
YGL105W,0.397053655,0.409699777,0.1291661751
YIL062C,0.6332106634,0.6422975318,0.5993167303
YLR370C,0.3452944183,0.7146065626,0.6702665125
YKL013C,0.3422899948,0.3467744713,0.3262435271
YNR035C,0.2924833463,0.2957030615,0.2810218897
YBR234C,0.4316314855,0.4380756576,0.4083327713
YHR013C,0.6332106634,0.6422975318,0.2328582168
YCR048W,0.6054346718,0.6143311274,0.5724234027
YNR019W,0.4708412391,0.4847929224,0.05766696906
YDL192W,0.08778412724,0.3941424874,0.001293415215
YDL137W,0.8077459634,0.8202412479,0.2933122507
YOR094W,0.388590433,0.3941424874,0.3686208547
YOL058W,0.8472468831,0.3047589552,0.8162410093
YJL071W,0.08778412724,0.3941424874,0.3686208547
YJL088W,0.7453723222,0.7544959397,0.7104406316
YHR018C,0.5434131951,0.5516678417,0.5131004624
YER069W,0.01039938558,0.8704198823,0.1433318462
YMR062C,0.008478930962,0.5516678417,0.5131004624
YOL140W,0.5088370774,0.5166156975,0.4804204137
