gene,eds1,rgt1,lys14
YGL156W,0.3940806323,0.6097017524,0.5893988544
YJR047C,0.6559938881,0.5634904881,0.7608837454
YEL036C,0.3010412024,0.86764113,0.6416966198
YKL047W,0.5414626968,0.4347131894,0.4201967703
YHR126C,0.4338974954,0.6375716589,0.6167800922
YPR128C,0.6761716897,0.547367742,0.174105034
YPR180W,0.4217957961,0.3444319901,0.3343823652
YCL050C,0.09427776271,0.6874832849,0.6661865182
YDR530C,0.5729060389,0.8616579209,0.04061929813
YNL172W,0.909545815,0.7996328369,0.7793665762
YDL008W,0.4217957961,0.3444319901,0.06344943288
YLR127C,0.1050392401,0.3444319901,0.3343823652
YDR118W,0.001028768677,0.2940203166,0.2868236806
YOR249C,0.2259286423,0.1367631223,0.4588613729
YLR102C,0.0445502669,0.4347131894,0.4201967703
YBR151W,0.3229296019,0.5673700321,0.8325894105
YKL103C,0.6363629717,0.5125613615,0.4949475981
YKL157W,0.002296204829,0.1367631223,0.4588613729
YBR286W,0.4217957961,0.3444319901,0.3343823652
YHR113W,0.5090043801,0.3239959302,0.2999354191
YDR525W,0.6363629717,0.5125613615,0.4949475981
YNL077W,0.1433143662,0.3912439327,0.3787695642
YJR005W,0.7431921818,0.6097017524,0.5893988544
YKL135C,0.5414626968,0.4347131894,0.4201967703
YBL037W,0.105192083,0.547367742,0.174105034
YPR029C,0.7604005792,0.8395634928,0.8206278472
YPL195W,0.3507162538,0.2940203166,0.2868236806
YGR261C,0.2708987927,0.2397321013,0.2358669062
YPL259C,0.268508087,0.162292408,0.4949475981
YHL019C,0.7116223971,0.579688714,0.5600612146
YBR288C,0.1433143662,0.3912439327,0.3787695642
YOL062C,0.07030004921,0.2940203166,0.2868236806
YKL114C,0.1050392401,0.3444319901,0.3343823652
YBL019W,0.5414626968,0.4347131894,0.4201967703
YNL094W,0.4217957961,0.3444319901,0.06344943288
YIL040W,0.2708987927,0.2397321013,0.2358669062
YJL075C,0.4217957961,0.3444319901,0.3343823652
YLR170C,0.1300768262,0.579688714,0.5600612146
YJR058C,0.1275434032,0.5238749553,0.4908393222
YJL024C,0.5090043801,0.6874832849,0.6661865182
YML022W,0.04054456952,0.2397321013,0.2358669062
YDR441C,0.4338974954,0.003893842137,0.6167800922
YNL065W,0.181825786,2.562150014e-8,0.2845027145
YPR192W,0.03007833401,0.6874832849,0.2999354191
YLL052C,0.3229296019,0.2973438253,0.2659820777
YFL054C,0.268508087,9.334145883e-7,0.03211698456
YBR149W,0.01324523863,0.1367631223,0.4588613729
YMR041C,0.4517574141,0.6631912363,0.06538544772
YER036C,0.7165498496,0.001765499343,0.4686707994
YGL105W,0.8719178751,0.7497639362,0.3746686978
YIL062C,0.1849963762,0.6375716589,0.6167800922
YLR370C,0.2755986874,0.7097990696,0.6884471144
YKL013C,0.4217957961,0.3444319901,0.3343823652
YNR035C,0.3507162538,0.2940203166,0.2868236806
YBR234C,0.0445502669,0.4347131894,0.4201967703
YHR013C,0.4338974954,0.6375716589,0.6167800922
YCR048W,0.7431921818,0.6097017524,0.5893988544
YNR019W,0.2218859174,0.7996328369,0.7793665762
YDL192W,0.0298826802,0.3912439327,0.08303083119
YDL137W,0.1983676395,0.9544658174,0.02833293376
YOR094W,0.4850939927,0.08909538426,0.3787695642
YOL058W,0.3229296019,0.8510197329,0.5333754821
YJL071W,0.4850939927,0.08909538426,0.3787695642
YJL088W,0.05775969952,0.4030992672,0.04351701209
YHR018C,0.105192083,0.547367742,0.04078577089
YER069W,0.6224454749,0.8637188691,0.3052625348
YMR062C,0.006015133324,0.547367742,0.5286273871
YOL140W,0.6363629717,0.5125613615,0.1499497928
YMR042W,0.4517574141,0.6631912363,0.06538544772
YML099C,0.5916605061,0.4750784503,0.4588613729
YDR173C,0.9361194265,0.5459876256,0.8206278472
YDR376W,0.268508087,0.5125613615,0.4949475981
YGL157W,0.005233791396,0,0.04351701209
YNL020C,0.183934911,0.4347131894,0.4201967703
YBR164C,0.6761716897,0.547367742,0.5286273871
YPL051W,0.3507162538,0.2940203166,0.2868236806
YHL040C,0.5090043801,0.6874832849,0.2999354191
YHL047C,0.8384916069,0.7097990696,0.32511844559999997
YDR127W,0.6363629717,0.5125613615,0.4949475981
YDR380W,0.7165498496,0.8139403931,0.7940796774
YGL148W,0.1529505645,0.7497639362,0.7286139071
YDR035W,0.037664172,0.579688714,0.5600612146
YBR249C,0.9383926635,0.9471936141,0.9362949883
YPR060C,0.7963419089,0.6634514677,0.6423353921
YGL202W,0.6152458886,0.528865114,0
YDR421W,0.6761716897,0.547367742,0.5286273871
YHR137W,0.8561725403,0.7305213579,0.7092232466
YHR129C,0.1050392401,0.3444319901,0.3343823652
YDR106W,0.3940806323,0.242491951,0.2239092313
YDL029W,0.1433143662,0.3912439327,0.3787695642
YJR065C,0.5916605061,0.4750784503,0.4588613729
YJL081C,0.6761716897,0.547367742,0.5286273871
YNL059C,0.4217957961,0.3444319901,0.3343823652
YLR085C,0.5414626968,0.4347131894,0.4201967703
YPR034W,0.472258199,0.29694577,0.2745990987
YOR141C,0.0445502669,0.1122611296,0.4201967703
YMR033W,0.3507162538,0.2940203166,0.2868236806
YPR199C,0.8384916069,0.7097990696,0.6884471144
YPR200C,0.3507162538,0.2940203166,0.2868236806
YPR201W,0.3507162538,0.2940203166,0.2868236806
YLR392C,0.1567847533,0.6097017524,0.5893988544
YGR068C,0.06939997936,0.4285071621,0.7467114873
YLR242C,0.2259286423,0.4750784503,0.4588613729
YDR101C,0.183934911,0.4347131894,0.4201967703
YPR085C,0.1050392401,0.3444319901,0.3343823652
YMR116C,0.7116223971,0.579688714,0.5600612146
YOR058C,0.3110417306,0.547367742,0.5286273871
YJL115W,0.6822942961,0.5174827306,0.6814840434
YDL197C,0.3940806323,0.06974836438,0.5893988544
YIL130W,0.02928030628,0.7842250624,0.763602217
YJL170C,0.5916605061,0.4750784503,0.4588613729
YKL185W,0.8609967456,0.9577172627,0.5679095194
YMR119W,0.01827515655,0.06761628143,0.06344943288
YNL159C,0.7116223971,0.579688714,0.5600612146
YNL008C,0.5916605061,0.4750784503,0.1265590781
YKL052C,0.1531454414,0.9431329243,0.931743236
YGR097W,0.01880740049,0.9235180951,0.9100431844
YDL088C,0.4217957961,0.3444319901,0.3343823652
